index,cover,digital_message,analog_message,digital_fsk,analog_fm,digital_ask,analog_am,digital_psk,analog_pm
76,-1.0000000000,0,-0.4444561864,-0.3826834324,0.9873778442,-0.3500000000,-0.7777719068,-1.0000000000,-0.7660325873
77,-0.9238795325,0,-0.4765594436,-0.6343932842,0.8751913335,-0.3233578364,-0.7037377745,-0.9238795325,-0.9373406847
78,-0.7071067812,0,-0.5075146273,-0.8314696123,0.6616050441,-0.2474873734,-0.5276732639,-0.7071067812,-0.9999303342
79,-0.3826834324,0,-0.5372471639,-0.9569403357,0.3737068864,-0.1339392013,-0.2798856380,-0.3826834324,-0.9446758523
80,-0.0000000000,0,-0.5656854249,-1.0000000000,0.0458231637,-0.0000000000,-0.0000000000,-0.0000000000,-0.7761750478
81,0.3826834324,0,-0.5927609003,-0.9569403357,-0.2846733873,0.1339392013,0.2692635444,0.3826834324,-0.5127694934
82,0.7071067812,0,-0.6184083627,-0.8314696123,-0.5815662421,0.2474873734,0.4884664078,0.7071067812,-0.1849248778
83,0.9238795325,0,-0.6425660252,-0.6343932842,-0.8135713629,0.3233578364,0.6270527330,0.9238795325,0.1679570314
84,1.0000000000,0,-0.6651756898,-0.3826834324,-0.9573433660,0.3500000000,0.6674121551,1.0000000000,0.5020268765
85,0.9238795325,0,-0.6861828880,-0.0980171403,-0.9994816083,0.3233578364,0.6069043696,0.9238795325,0.7743213036
86,0.7071067812,0,-0.7055370115,0.1950903220,-0.9374260466,0.2474873734,0.4576617786,0.7071067812,0.9483328976
87,0.3826834324,0,-0.7231914345,0.4713967368,-0.7792465737,0.1339392013,0.2443067422,0.3826834324,0.9991134714
88,0.0000000000,0,-0.7391036260,0.7071067812,-0.5424283692,0.0000000000,0.0000000000,0.0000000000,0.9171945236
89,-0.3826834324,0,-0.7532352521,0.8819212643,-0.2518337437,-0.1339392013,-0.2385581065,-0.3826834324,0.7106910965
90,-0.7071067812,0,-0.7655522686,0.9807852804,0.0629249617,-0.2474873734,-0.4364431810,-0.7071067812,0.4051368663
91,-0.9238795325,0,-0.7760250026,0.9951847267,0.3704371113,-0.3233578364,-0.5654027242,-0.9238795325,0.0408685931
92,-1.0000000000,0,-0.7846282243,0.9238795325,0.6404990682,-0.3500000000,-0.6076858878,-1.0000000000,-0.3318888278
93,-0.9238795325,0,-0.7913412080,0.7730104534,0.8469154921,-0.3233578364,-0.5583275599,-0.9238795325,-0.6597300915
94,-0.7071067812,0,-0.7961477813,0.5555702330,0.9698695418,-0.2474873734,-0.4256260337,-0.7071067812,-0.8937373149
95,-0.3826834324,0,-0.7990363650,0.2902846773,0.9976785313,-0.1339392013,-0.2297944430,-0.3826834324,-0.9970349531
96,-0.0000000000,1,-0.8000000000,0.0000000000,0.9278047512,-0.0000000000,-0.0000000000,-0.0000000000,-0.9510565163
97,0.3826834324,1,-0.7990363650,-0.4713967368,0.7670502840,0.3826834324,0.2297944430,-0.3826834324,-0.7594220420
98,0.7071067812,1,-0.7961477813,-0.8314696123,0.5309264411,0.7071067812,0.4256260337,-0.7071067812,-0.4485906953
99,0.9238795325,1,-0.7913412080,-0.9951847267,0.2422498490,0.9238795325,0.5583275599,-0.9238795325,-0.0648929860
100,1.0000000000,1,-0.7846282243,-0.9238795325,-0.0709246859,1.0000000000,0.6076858878,-1.0000000000,0.3318888278
101,0.9238795325,1,-0.7760250026,-0.6343932842,-0.3778724462,0.9238795325,0.5654027242,-0.9238795325,0.6776175554
